ID	Variety	Block	Resp
1	A	1	2.17
2	B	1	1.58
3	C	1	2.29
4	D	1	2.23
5	A	2	1.88
6	B	2	1.26
7	C	2	1.6
8	D	2	2.01
9	A	3	1.62
10	B	3	1.22
11	C	3	1.67
12	D	3	1.82
13	A	4	2.34
14	B	4	1.59
15	C	4	1.91
16	D	4	2.1
17	A	5	1.58
18	B	5	1.25
19	C	5	1.39
20	D	5	1.66
21	A	6	1.66
22	B	6	0.94
23	C	6	1.12
24	D	6	1.1
25	E	1	2.33
26	F	1	1.38
27	G	1	1.86
28	H	1	2.27
29	E	2	2.01
30	F	2	1.3
31	G	2	1.7
32	H	2	1.81
33	E	3	1.7
34	F	3	1.85
35	G	3	1.81
36	H	3	2.01
37	E	4	1.78
38	F	4	1.09
39	G	4	1.54
40	H	4	1.4
41	E	5	1.42
42	F	5	1.13
43	G	5	1.67
44	H	5	1.31
45	E	6	1.35
46	F	6	1.06
47	G	6	0.88
48	H	6	1.06
49	I	1	1.75
50	J	1	1.52
51	K	1	1.55
52	L	1	1.56
53	I	2	1.95
54	J	2	1.47
55	K	2	1.61
56	L	2	1.72
57	I	3	2.13
58	J	3	1.8
59	K	3	1.82
60	L	3	1.99
61	I	4	1.78
62	J	4	1.37
63	K	4	1.56
64	L	4	1.55
65	I	5	1.31
66	J	5	1.01
67	K	5	1.23
68	L	5	1.51
69	I	6	1.3
70	J	6	1.31
71	K	6	1.13
72	L	6	1.33
