"ID","LOCATION","PLOT","ROW","COLUMN","REP","TREATMENT"
1,"FARGO",101,1,1,1,"G-9"
2,"FARGO",102,1,2,1,"G-1"
3,"FARGO",103,2,1,1,"G-6"
4,"FARGO",104,2,2,1,"G-5"
5,"FARGO",105,3,1,1,"G-3"
6,"FARGO",106,3,2,1,"G-4"
7,"FARGO",107,4,1,1,"G-7"
8,"FARGO",108,4,2,1,"G-10"
9,"FARGO",109,5,1,1,"G-8"
10,"FARGO",110,5,2,1,"G-2"
11,"FARGO",111,6,1,2,"G-10"
12,"FARGO",112,6,2,2,"G-2"
13,"FARGO",113,7,1,2,"G-8"
14,"FARGO",114,7,2,2,"G-3"
15,"FARGO",115,8,1,2,"G-5"
16,"FARGO",116,8,2,2,"G-1"
17,"FARGO",117,9,1,2,"G-4"
18,"FARGO",118,9,2,2,"G-9"
19,"FARGO",119,10,1,2,"G-7"
20,"FARGO",120,10,2,2,"G-6"
21,"FARGO",121,11,1,3,"G-2"
22,"FARGO",122,11,2,3,"G-5"
23,"FARGO",123,12,1,3,"G-4"
24,"FARGO",124,12,2,3,"G-9"
25,"FARGO",125,13,1,3,"G-3"
26,"FARGO",126,13,2,3,"G-8"
27,"FARGO",127,14,1,3,"G-6"
28,"FARGO",128,14,2,3,"G-7"
29,"FARGO",129,15,1,3,"G-10"
30,"FARGO",130,15,2,3,"G-1"
31,"FARGO",131,16,1,4,"G-4"
32,"FARGO",132,16,2,4,"G-8"
33,"FARGO",133,17,1,4,"G-2"
34,"FARGO",134,17,2,4,"G-9"
35,"FARGO",135,18,1,4,"G-5"
36,"FARGO",136,18,2,4,"G-10"
37,"FARGO",137,19,1,4,"G-1"
38,"FARGO",138,19,2,4,"G-6"
39,"FARGO",139,20,1,4,"G-3"
40,"FARGO",140,20,2,4,"G-7"
41,"FARGO",141,21,1,5,"G-5"
42,"FARGO",142,21,2,5,"G-9"
43,"FARGO",143,22,1,5,"G-10"
44,"FARGO",144,22,2,5,"G-2"
45,"FARGO",145,23,1,5,"G-1"
46,"FARGO",146,23,2,5,"G-3"
47,"FARGO",147,24,1,5,"G-4"
48,"FARGO",148,24,2,5,"G-7"
49,"FARGO",149,25,1,5,"G-8"
50,"FARGO",150,25,2,5,"G-6"
