"ID","LOCATION","PLOT","ROW","COLUMN","REP","WHOLE_PLOT","SUB_PLOT","TRT_COMB"
1,"FARGO",101,1,1,1,2,2,"2|2"
2,"FARGO",101,2,1,1,2,1,"2|1"
3,"FARGO",101,3,1,1,2,6,"2|6"
4,"FARGO",101,4,1,1,2,7,"2|7"
5,"FARGO",101,5,1,1,2,10,"2|10"
6,"FARGO",101,6,1,1,2,5,"2|5"
7,"FARGO",101,7,1,1,2,8,"2|8"
8,"FARGO",101,8,1,1,2,9,"2|9"
9,"FARGO",101,9,1,1,2,4,"2|4"
10,"FARGO",101,10,1,1,2,3,"2|3"
11,"FARGO",101,11,1,1,2,12,"2|12"
12,"FARGO",101,12,1,1,2,11,"2|11"
13,"FARGO",102,1,2,1,1,8,"1|8"
14,"FARGO",102,2,2,1,1,2,"1|2"
15,"FARGO",102,3,2,1,1,3,"1|3"
16,"FARGO",102,4,2,1,1,1,"1|1"
17,"FARGO",102,5,2,1,1,12,"1|12"
18,"FARGO",102,6,2,1,1,9,"1|9"
19,"FARGO",102,7,2,1,1,10,"1|10"
20,"FARGO",102,8,2,1,1,11,"1|11"
21,"FARGO",102,9,2,1,1,6,"1|6"
22,"FARGO",102,10,2,1,1,5,"1|5"
23,"FARGO",102,11,2,1,1,4,"1|4"
24,"FARGO",102,12,2,1,1,7,"1|7"
25,"FARGO",201,13,1,2,1,4,"1|4"
26,"FARGO",201,14,1,2,1,3,"1|3"
27,"FARGO",201,15,1,2,1,11,"1|11"
28,"FARGO",201,16,1,2,1,8,"1|8"
29,"FARGO",201,17,1,2,1,10,"1|10"
30,"FARGO",201,18,1,2,1,12,"1|12"
31,"FARGO",201,19,1,2,1,9,"1|9"
32,"FARGO",201,20,1,2,1,6,"1|6"
33,"FARGO",201,21,1,2,1,2,"1|2"
34,"FARGO",201,22,1,2,1,5,"1|5"
35,"FARGO",201,23,1,2,1,1,"1|1"
36,"FARGO",201,24,1,2,1,7,"1|7"
37,"FARGO",202,13,2,2,2,9,"2|9"
38,"FARGO",202,14,2,2,2,4,"2|4"
39,"FARGO",202,15,2,2,2,8,"2|8"
40,"FARGO",202,16,2,2,2,3,"2|3"
41,"FARGO",202,17,2,2,2,10,"2|10"
42,"FARGO",202,18,2,2,2,2,"2|2"
43,"FARGO",202,19,2,2,2,5,"2|5"
44,"FARGO",202,20,2,2,2,7,"2|7"
45,"FARGO",202,21,2,2,2,11,"2|11"
46,"FARGO",202,22,2,2,2,1,"2|1"
47,"FARGO",202,23,2,2,2,12,"2|12"
48,"FARGO",202,24,2,2,2,6,"2|6"
49,"FARGO",301,25,1,3,1,3,"1|3"
50,"FARGO",301,26,1,3,1,10,"1|10"
51,"FARGO",301,27,1,3,1,9,"1|9"
52,"FARGO",301,28,1,3,1,11,"1|11"
53,"FARGO",301,29,1,3,1,2,"1|2"
54,"FARGO",301,30,1,3,1,1,"1|1"
55,"FARGO",301,31,1,3,1,8,"1|8"
56,"FARGO",301,32,1,3,1,7,"1|7"
57,"FARGO",301,33,1,3,1,12,"1|12"
58,"FARGO",301,34,1,3,1,5,"1|5"
59,"FARGO",301,35,1,3,1,6,"1|6"
60,"FARGO",301,36,1,3,1,4,"1|4"
61,"FARGO",302,25,2,3,2,3,"2|3"
62,"FARGO",302,26,2,3,2,7,"2|7"
63,"FARGO",302,27,2,3,2,4,"2|4"
64,"FARGO",302,28,2,3,2,6,"2|6"
65,"FARGO",302,29,2,3,2,12,"2|12"
66,"FARGO",302,30,2,3,2,11,"2|11"
67,"FARGO",302,31,2,3,2,9,"2|9"
68,"FARGO",302,32,2,3,2,2,"2|2"
69,"FARGO",302,33,2,3,2,10,"2|10"
70,"FARGO",302,34,2,3,2,8,"2|8"
71,"FARGO",302,35,2,3,2,5,"2|5"
72,"FARGO",302,36,2,3,2,1,"2|1"
