B,N,Subplots,cv,Wplots,Y,col,row,nrate,interaction
1,4,1,C,1,156,1,1,0.6,C4
1,3,2,C,1,118,2,1,0.4,C3
1,2,3,C,1,140,1,2,0.2,C2
1,1,4,C,1,105,2,2,0,C1
1,1,1,B,2,111,1,3,0,B1
1,2,2,B,2,130,2,3,0.2,B2
1,4,3,B,2,174,1,4,0.6,B4
1,3,4,B,2,157,2,4,0.4,B3
1,1,1,A,3,117,1,5,0,A1
1,2,2,A,3,114,2,5,0.2,A2
1,3,3,A,3,161,1,6,0.4,A3
1,4,4,A,3,141,2,6,0.6,A4
2,3,1,C,1,104,1,7,0.4,C3
2,1,2,C,1,70,2,7,0,C1
2,2,3,C,1,89,1,8,0.2,C2
2,4,4,C,1,117,2,8,0.6,C4
2,4,1,B,2,122,1,9,0.6,B4
2,1,2,B,2,74,2,9,0,B1
2,2,3,B,2,89,1,10,0.2,B2
2,3,4,B,2,81,2,10,0.4,B3
2,2,1,A,3,103,1,11,0.2,A2
2,1,2,A,3,64,2,11,0,A1
2,3,3,A,3,132,1,12,0.4,A3
2,4,4,A,3,133,2,12,0.6,A4
3,2,1,A,1,108,1,13,0.2,A2
3,3,2,A,1,126,2,13,0.4,A3
3,4,3,A,1,149,1,14,0.6,A4
3,1,4,A,1,70,2,14,0,A1
3,4,1,C,2,144,1,15,0.6,C4
3,2,2,C,2,124,2,15,0.2,C2
3,3,3,C,2,121,1,16,0.4,C3
3,1,4,C,2,96,2,16,0,C1
3,1,1,B,3,61,1,17,0,B1
3,4,2,B,3,100,2,17,0.6,B4
3,2,3,B,3,91,1,18,0.2,B2
3,3,4,B,3,97,2,18,0.4,B3
4,3,1,C,1,109,3,1,0.4,C3
4,4,2,C,1,99,4,1,0.6,C4
4,1,3,C,1,63,3,2,0,C1
4,2,4,C,1,70,4,2,0.2,C2
4,1,1,A,2,80,3,3,0,A1
4,3,2,A,2,94,4,3,0.4,A3
4,4,3,A,2,126,3,4,0.6,A4
4,2,4,A,2,82,4,4,0.2,A2
4,2,1,B,3,90,3,5,0.2,B2
4,3,2,B,3,100,4,5,0.4,B3
4,4,3,B,3,116,3,6,0.6,B4
4,1,4,B,3,62,4,6,0,B1
5,4,1,A,1,96,3,7,0.6,A4
5,1,2,A,1,60,4,7,0,A1
5,3,3,A,1,89,3,8,0.4,A3
5,2,4,A,1,102,4,8,0.2,A2
5,3,1,B,2,112,3,9,0.4,B3
5,4,2,B,2,86,4,9,0.6,B4
5,1,3,B,2,68,3,10,0,B1
5,2,4,B,2,64,4,10,0.2,B2
5,3,1,C,3,132,3,11,0.4,C3
5,4,2,C,3,124,4,11,0.6,C4
5,2,3,C,3,129,3,12,0.2,C2
5,1,4,C,3,89,4,12,0,C1
6,3,1,B,1,118,3,13,0.4,B3
6,1,2,B,1,53,4,13,0,B1
6,4,3,B,1,113,3,14,0.6,B4
6,2,4,B,1,74,4,14,0.2,B2
6,4,1,A,2,104,3,15,0.6,A4
6,3,2,A,2,86,4,15,0.4,A3
6,1,3,A,2,89,3,16,0,A1
6,2,4,A,2,82,4,16,0.2,A2
6,1,1,C,3,97,3,17,0,C1
6,2,2,C,3,99,4,17,0.2,C2
6,3,3,C,3,119,3,18,0.4,C3
6,4,4,C,3,121,4,18,0.6,C4
