"treat","plant","time","loc","year","y"
"MAV",1,"1","1","2021",181.504801155754
"MAV",1,"3","1","2021",-308.903981662743
"MAV",1,"5","1","2021",-34.1983042451313
"MAV",1,"7","1","2021",-4.14873957813462
"MAV",1,"10","1","2021",-132.263700363799
"MAV",2,"1","1","2021",89.6478622342241
"MAV",2,"3","1","2021",-241.866557277424
"MAV",2,"5","1","2021",365.300187974693
"MAV",2,"7","1","2021",139.126296673622
"MAV",2,"10","1","2021",409.307534402379
"MAV",3,"1","1","2021",163.723892674979
"MAV",3,"3","1","2021",-282.864087140183
"MAV",3,"5","1","2021",187.598845642011
"MAV",3,"7","1","2021",153.630172669367
"MAV",3,"10","1","2021",263.95867903749
"MAV",4,"1","1","2021",252.117791698893
"MAV",4,"3","1","2021",130.092756163726
"MAV",4,"5","1","2021",174.532628396516
"MAV",4,"7","1","2021",-61.0482309867589
"MAV",4,"10","1","2021",376.521847294558
"MAV",5,"1","1","2021",-318.040505978002
"MAV",5,"3","1","2021",-332.028203741249
"MAV",5,"5","1","2021",-197.34177014866
"MAV",5,"7","1","2021",284.003271609301
"MAV",5,"10","1","2021",-118.250058995771
"MAV",6,"1","1","2021",-48.2735984362641
"MAV",6,"3","1","2021",57.6903627703394
"MAV",6,"5","1","2021",-40.2000698055959
"MAV",6,"7","1","2021",-343.313002863211
"MAV",6,"10","1","2021",294.29333033799
"MAV",7,"1","1","2021",21.680263128236
"MAV",7,"3","1","2021",158.998060903839
"MAV",7,"5","1","2021",62.9197782946048
"MAV",7,"7","1","2021",-35.96555474861
"MAV",7,"10","1","2021",377.389326715575
"HC",8,"1","1","2021",188.256953589359
"HC",8,"3","1","2021",-257.528330843224
"HC",8,"5","1","2021",-177.467697381861
"HC",8,"7","1","2021",317.595701612555
"HC",8,"10","1","2021",-125.24382578107
"HC",9,"1","1","2021",53.1576566338468
"HC",9,"3","1","2021",-223.067261003667
"HC",9,"5","1","2021",244.819593310595
"HC",9,"7","1","2021",242.96605086912
"HC",9,"10","1","2021",71.88129610724
"HC",10,"1","1","2021",347.33453656148
"HC",10,"3","1","2021",-44.9214186393127
"HC",10,"5","1","2021",3.71020977152975
"HC",10,"7","1","2021",286.970548887833
"HC",10,"10","1","2021",157.37312724677
"HC",11,"1","1","2021",214.768541899161
"HC",11,"3","1","2021",353.173826036145
"HC",11,"5","1","2021",150.947089687158
"HC",11,"7","1","2021",258.766435621931
"HC",11,"10","1","2021",0.00166382755736549
"HC",12,"1","1","2021",129.028911045411
"HC",12,"3","1","2021",-3.06554042547224
"HC",12,"5","1","2021",353.427964964664
"HC",12,"7","1","2021",94.7267763130023
"HC",12,"10","1","2021",121.871647119197
"HC",13,"1","1","2021",39.264385725554
"HC",13,"3","1","2021",-354.057329178981
"HC",13,"5","1","2021",-95.5596634206684
"HC",13,"7","1","2021",499.906947989134
"HC",13,"10","1","2021",250.466449046101
"HC",14,"1","1","2021",38.4596524266419
"HC",14,"3","1","2021",28.8944145822445
"HC",14,"5","1","2021",72.8876808110233
"HC",14,"7","1","2021",200.19665348738
"HC",14,"10","1","2021",263.707679894269
"MAV",1,"1","2","2021",19.6388078949553
"MAV",1,"3","2","2021",40.488973840892
"MAV",1,"5","2","2021",47.926751582765
"MAV",1,"7","2","2021",50.8104593792082
"MAV",1,"10","2","2021",56.9563382726912
"MAV",2,"1","2","2021",29.9113606634337
"MAV",2,"3","2","2021",55.4129781002928
"MAV",2,"5","2","2021",56.9334073349282
"MAV",2,"7","2","2021",60.6368222387748
"MAV",2,"10","2","2021",69.3852450892234
"MAV",3,"1","2","2021",36.0110889238543
"MAV",3,"3","2","2021",57.0735601277861
"MAV",3,"5","2","2021",56.6685105641221
"MAV",3,"7","2","2021",64.2822713771656
